Algorithm,Level,Status,Time (s),Metric Type,Metric Value
LAMA First,Level 0,SUCCESS,4.7762,Plan Length,264
A* (Satificing),Level 0,SUCCESS,3.8457,Nodes Expanded,27290
LAMA First,Level 1,TIMEOUT,300.0000,Plan Length,0
Fast Downward,Level 1,FAILED,299.4371,Plan Length,0
LAMA First,Level 0,FAILED,0.7881,Plan Length,0
Fast Downward,Level 0,FAILED,0.2415,Plan Length,0
A* (Satificing),Level 0,FAILED,0.0000,Nodes Expanded,1
LAMA First,Level 1,SUCCESS,0.5370,Plan Length,6
Fast Downward,Level 1,SUCCESS,0.1024,Plan Length,6
A* (Satificing),Level 1,SUCCESS,0.0002,Nodes Expanded,3
LAMA First,Level 2,SUCCESS,0.5580,Plan Length,9
Fast Downward,Level 2,SUCCESS,0.1124,Plan Length,9
A* (Satificing),Level 2,SUCCESS,0.0003,Nodes Expanded,3
LAMA First,Level 3,SUCCESS,0.4963,Plan Length,9
Fast Downward,Level 3,SUCCESS,0.1094,Plan Length,9
A* (Satificing),Level 3,SUCCESS,0.0012,Nodes Expanded,4
LAMA First,Level 4,SUCCESS,0.5813,Plan Length,26
Fast Downward,Level 4,SUCCESS,0.1923,Plan Length,26
A* (Satificing),Level 4,SUCCESS,0.0019,Nodes Expanded,7
LAMA First,Level 5,SUCCESS,0.5570,Plan Length,46
Fast Downward,Level 5,SUCCESS,0.3968,Plan Length,35
A* (Satificing),Level 5,SUCCESS,0.0038,Nodes Expanded,13
