Algorithm,Level,Status,Time (s),Metric Type,Metric Value
A* (Manhattan),Level 0,Memory,0.0000,Max Stored Nodes,3
A* (Manhattan),Level 0,Branching,0.0000,Avg Branching,0.5
A* (Manhattan),Level 0,Branching,0.0000,Max Branching,1
A* (Manhattan),Level 0,SUCCESS,0.0000,Nodes Expanded,2
A* (Manhattan),Level 0,SUCCESS,0.0000,Solution Length,1
A* (Real Maze),Level 0,Memory,0.0000,Max Stored Nodes,3
A* (Real Maze),Level 0,Branching,0.0000,Avg Branching,0.5
A* (Real Maze),Level 0,Branching,0.0000,Max Branching,1
A* (Real Maze),Level 0,SUCCESS,0.0000,Nodes Expanded,2
A* (Real Maze),Level 0,SUCCESS,0.0000,Solution Length,1
A* (New Real Maze),Level 0,Memory,0.0001,Max Stored Nodes,3
A* (New Real Maze),Level 0,Branching,0.0001,Avg Branching,0.5
A* (New Real Maze),Level 0,Branching,0.0001,Max Branching,1
A* (New Real Maze),Level 0,SUCCESS,0.0001,Nodes Expanded,2
A* (New Real Maze),Level 0,SUCCESS,0.0001,Solution Length,1
A* (Hungarian),Level 0,Memory,0.0001,Max Stored Nodes,3
A* (Hungarian),Level 0,Branching,0.0001,Avg Branching,0.5
A* (Hungarian),Level 0,Branching,0.0001,Max Branching,1
A* (Hungarian),Level 0,SUCCESS,0.0001,Nodes Expanded,2
A* (Hungarian),Level 0,SUCCESS,0.0001,Solution Length,1
A* (Fast Distance),Level 0,Memory,0.0001,Max Stored Nodes,3
A* (Fast Distance),Level 0,Branching,0.0001,Avg Branching,0.5
A* (Fast Distance),Level 0,Branching,0.0001,Max Branching,1
A* (Fast Distance),Level 0,SUCCESS,0.0001,Nodes Expanded,2
A* (Fast Distance),Level 0,SUCCESS,0.0001,Solution Length,1
A* (Exact Distance),Level 0,Memory,0.0001,Max Stored Nodes,3
A* (Exact Distance),Level 0,Branching,0.0001,Avg Branching,0.5
A* (Exact Distance),Level 0,Branching,0.0001,Max Branching,1
A* (Exact Distance),Level 0,SUCCESS,0.0001,Nodes Expanded,2
A* (Exact Distance),Level 0,SUCCESS,0.0001,Solution Length,1
A* (Satisficing),Level 0,Memory,0.0000,Max Stored Nodes,3
A* (Satisficing),Level 0,Branching,0.0000,Avg Branching,0.5
A* (Satisficing),Level 0,Branching,0.0000,Max Branching,1
A* (Satisficing),Level 0,SUCCESS,0.0000,Nodes Expanded,2
A* (Satisficing),Level 0,SUCCESS,0.0000,Solution Length,1
Fast Downward,Level 0,Metrics,0.0954,Nodes Expanded,3
Fast Downward,Level 0,Branching,0.0954,Avg Branching,1.6666666666666667
Fast Downward,Level 0,SUCCESS,0.0954,Solution Length,3
LAMA First,Level 0,Metrics,0.5333,Nodes Expanded,3
LAMA First,Level 0,Branching,0.5333,Avg Branching,1.6666666666666667
LAMA First,Level 0,SUCCESS,0.5333,Solution Length,3
A* (Manhattan),Level 1,Memory,0.0001,Max Stored Nodes,10
A* (Manhattan),Level 1,Branching,0.0001,Avg Branching,1.6666666666666667
A* (Manhattan),Level 1,Branching,0.0001,Max Branching,3
A* (Manhattan),Level 1,SUCCESS,0.0001,Nodes Expanded,3
A* (Manhattan),Level 1,SUCCESS,0.0001,Solution Length,2
A* (Real Maze),Level 1,Memory,0.0001,Max Stored Nodes,10
A* (Real Maze),Level 1,Branching,0.0001,Avg Branching,1.6666666666666667
A* (Real Maze),Level 1,Branching,0.0001,Max Branching,3
A* (Real Maze),Level 1,SUCCESS,0.0001,Nodes Expanded,3
A* (Real Maze),Level 1,SUCCESS,0.0001,Solution Length,2
A* (New Real Maze),Level 1,Memory,0.0001,Max Stored Nodes,10
A* (New Real Maze),Level 1,Branching,0.0001,Avg Branching,1.6666666666666667
A* (New Real Maze),Level 1,Branching,0.0001,Max Branching,3
A* (New Real Maze),Level 1,SUCCESS,0.0001,Nodes Expanded,3
A* (New Real Maze),Level 1,SUCCESS,0.0001,Solution Length,2
A* (Hungarian),Level 1,Memory,0.0001,Max Stored Nodes,10
A* (Hungarian),Level 1,Branching,0.0001,Avg Branching,1.6666666666666667
A* (Hungarian),Level 1,Branching,0.0001,Max Branching,3
A* (Hungarian),Level 1,SUCCESS,0.0001,Nodes Expanded,3
A* (Hungarian),Level 1,SUCCESS,0.0001,Solution Length,2
A* (Fast Distance),Level 1,Memory,0.0001,Max Stored Nodes,10
A* (Fast Distance),Level 1,Branching,0.0001,Avg Branching,1.6666666666666667
A* (Fast Distance),Level 1,Branching,0.0001,Max Branching,3
A* (Fast Distance),Level 1,SUCCESS,0.0001,Nodes Expanded,3
A* (Fast Distance),Level 1,SUCCESS,0.0001,Solution Length,2
A* (Exact Distance),Level 1,Memory,0.0002,Max Stored Nodes,10
A* (Exact Distance),Level 1,Branching,0.0002,Avg Branching,1.6666666666666667
A* (Exact Distance),Level 1,Branching,0.0002,Max Branching,3
A* (Exact Distance),Level 1,SUCCESS,0.0002,Nodes Expanded,3
A* (Exact Distance),Level 1,SUCCESS,0.0002,Solution Length,2
A* (Satisficing),Level 1,Memory,0.0002,Max Stored Nodes,10
A* (Satisficing),Level 1,Branching,0.0002,Avg Branching,1.6666666666666667
A* (Satisficing),Level 1,Branching,0.0002,Max Branching,3
A* (Satisficing),Level 1,SUCCESS,0.0002,Nodes Expanded,3
A* (Satisficing),Level 1,SUCCESS,0.0002,Solution Length,2
Fast Downward,Level 1,Metrics,0.0968,Nodes Expanded,12
Fast Downward,Level 1,Branching,0.0968,Avg Branching,3.0833333333333335
Fast Downward,Level 1,SUCCESS,0.0968,Solution Length,6
LAMA First,Level 1,Metrics,0.5258,Nodes Expanded,19
LAMA First,Level 1,Branching,0.5258,Avg Branching,2.9473684210526314
LAMA First,Level 1,SUCCESS,0.5258,Solution Length,14
A* (Manhattan),Level 2,Memory,0.0002,Max Stored Nodes,18
A* (Manhattan),Level 2,Branching,0.0002,Avg Branching,3.3333333333333335
A* (Manhattan),Level 2,Branching,0.0002,Max Branching,5
A* (Manhattan),Level 2,SUCCESS,0.0002,Nodes Expanded,3
A* (Manhattan),Level 2,SUCCESS,0.0002,Solution Length,2
A* (Real Maze),Level 2,Memory,0.0003,Max Stored Nodes,18
